Nota_Matematica,IAA,Fase Ideal,Turma,RA,INDE,Nota_Portugues,IDA,IAN,Ano Nascimento,IPV,IPS,Ano ingresso,Pedra,Instituição de ensino,Nome Anonimizado,IEG,Idade,Fase,Defasagem,Gênero,Ano_Referencia
9.2,9.0,Fase 1 (4º ano),F,RA-700,7.738,9.2,9.2,5.0,2013,7.083,7.5,2022,Ametista,Escola Pública,Aluno-700,8.7,9,0,-1,Feminino,2022
8.7,9.0,Fase 2 (5º e 6º ano),F,RA-701,7.755,8.7,8.7,5.0,2012,7.417,7.5,2021,Ametista,Escola Pública,Aluno-701,9.3,10,0,-2,Masculino,2022
7.0,10.0,ALFA  (2º e 3º ano),F,RA-702,7.387,6.7,6.8,10.0,2014,7.0,5.0,2022,Ametista,Escola Pública,Aluno-702,8.6,8,0,0,Feminino,2022
5.3,7.5,Fase 2 (5º e 6º ano),F,RA-703,6.099,4.8,5.1,5.0,2012,6.833,5.0,2021,Ágata,Escola Pública,Aluno-703,7.4,10,0,-2,Masculino,2022
7.7,9.0,Fase 2 (5º e 6º ano),F,RA-704,6.741,6.6,7.2,5.0,2012,6.583,5.0,2022,Ágata,Escola Pública,Aluno-704,8.6,10,0,-2,Masculino,2022
7.0,9.5,Fase 2 (5º e 6º ano),F,RA-705,6.634,7.2,7.1,5.0,2012,6.333,7.5,2022,Ágata,Escola Pública,Aluno-705,6.2,10,0,-2,Masculino,2022
9.1,9.5,Fase 2 (5º e 6º ano),F,RA-706,7.659,9.1,9.1,5.0,2012,8.417,7.5,2021,Ametista,Escola Pública,Aluno-706,6.7,10,0,-2,Feminino,2022
8.8,10.0,Fase 2 (5º e 6º ano),F,RA-707,7.679,8.2,8.5,5.0,2012,8.083,6.9,2020,Ametista,Escola Pública,Aluno-707,8.1,10,0,-2,Feminino,2022
7.1,8.0,Fase 1 (4º ano),F,RA-708,7.282,7.6,7.3,5.0,2013,7.583,7.5,2022,Ametista,Escola Pública,Aluno-708,8.4,9,0,-1,Masculino,2022
2.3,9.5,Fase 2 (5º e 6º ano),F,RA-709,5.313,2.3,2.3,5.0,2012,7.083,7.5,2022,Quartzo,Escola Pública,Aluno-709,3.5,10,0,-2,Feminino,2022
7.0,9.5,Fase 2 (5º e 6º ano),G,RA-710,7.285,6.8,6.9,5.0,2012,8.0,5.0,2020,Ametista,Escola Pública,Aluno-710,8.9,10,0,-2,Masculino,2022
4.0,9.0,Fase 1 (4º ano),G,RA-711,6.04,3.0,3.5,5.0,2013,6.0,6.3,2022,Ágata,Escola Pública,Aluno-711,7.9,9,0,-1,Masculino,2022
8.7,8.0,Fase 2 (5º e 6º ano),G,RA-712,6.026,7.3,8.0,5.0,2011,5.833,5.0,2019,Ágata,Escola Pública,Aluno-712,5.1,11,0,-2,Masculino,2022
8.0,10.0,Fase 1 (4º ano),G,RA-713,7.42,7.7,7.8,5.0,2013,7.25,7.5,2021,Ametista,Escola Pública,Aluno-713,8.7,9,0,-1,Masculino,2022
8.5,9.0,Fase 2 (5º e 6º ano),G,RA-714,6.953,7.5,8.0,5.0,2011,7.25,5.6,2019,Ágata,Escola Pública,Aluno-714,6.9,11,0,-2,Masculino,2022
4.8,8.5,Fase 1 (4º ano),G,RA-715,6.656,5.0,4.9,5.0,2013,7.917,4.4,2022,Ágata,Escola Pública,Aluno-715,8.7,9,0,-1,Feminino,2022
7.3,8.9,Fase 1 (4º ano),G,RA-716,6.525,6.0,6.7,5.0,2013,5.417,7.5,2022,Ágata,Escola Pública,Aluno-716,8.1,9,0,-1,Masculino,2022
5.0,9.0,Fase 2 (5º e 6º ano),G,RA-717,6.832,5.8,5.4,5.0,2012,7.917,7.5,2021,Ágata,Escola Pública,Aluno-717,7.3,10,0,-2,Feminino,2022
9.2,8.0,ALFA  (2º e 3º ano),G,RA-718,8.093,9.2,9.2,10.0,2014,7.417,6.3,2022,Topázio,Escola Pública,Aluno-718,8.9,8,0,0,Feminino,2022
5.0,9.0,Fase 2 (5º e 6º ano),G,RA-719,5.552,3.3,4.2,5.0,2012,6.083,7.5,2021,Quartzo,Escola Pública,Aluno-719,4.6,10,0,-2,Feminino,2022
7.3,8.0,Fase 1 (4º ano),G,RA-720,6.731,7.8,7.6,5.0,2013,7.083,7.5,2021,Ágata,Escola Pública,Aluno-720,5.9,9,0,-1,Feminino,2022
8.2,9.5,ALFA  (2º e 3º ano),G,RA-721,7.973,7.0,7.6,10.0,2014,7.917,7.5,2021,Ametista,Escola Pública,Aluno-721,8.1,8,0,0,Feminino,2022
7.8,10.0,Fase 1 (4º ano),G,RA-722,7.41,8.3,8.1,5.0,2013,8.333,4.4,2021,Ametista,Escola Pública,Aluno-722,8.1,9,0,-1,Feminino,2022
5.3,10.0,ALFA  (2º e 3º ano),H,RA-723,7.426,5.7,5.5,10.0,2014,8.167,8.1,2022,Ametista,Escola Pública,Aluno-723,6.6,8,0,0,Feminino,2022
2.9,9.5,ALFA  (2º e 3º ano),H,RA-724,6.931,8.3,5.6,10.0,2014,8.0,5.6,2022,Ágata,Escola Pública,Aluno-724,5.9,8,0,0,Feminino,2022
4.0,8.0,ALFA  (2º e 3º ano),H,RA-725,6.33,6.0,5.0,10.0,2014,5.5,8.1,2022,Ágata,Escola Pública,Aluno-725,5.9,8,0,0,Masculino,2022
5.8,10.0,ALFA  (2º e 3º ano),H,RA-726,6.985,3.0,4.4,10.0,2015,6.583,7.5,2022,Ágata,Escola Pública,Aluno-726,7.5,7,0,0,Feminino,2022
9.3,9.0,ALFA  (2º e 3º ano),H,RA-727,7.736,7.4,8.4,10.0,2014,6.75,8.1,2022,Ametista,Escola Pública,Aluno-727,7.7,8,0,0,Masculino,2022
9.3,9.5,ALFA  (2º e 3º ano),H,RA-728,8.244,8.9,9.1,10.0,2014,8.167,8.1,2022,Topázio,Escola Pública,Aluno-728,7.3,8,0,0,Feminino,2022
8.5,10.0,ALFA  (2º e 3º ano),H,RA-729,8.155,7.8,8.1,10.0,2014,7.25,8.1,2022,Topázio,Escola Pública,Aluno-729,8.7,8,0,0,Feminino,2022
