IDA,Ano Nascimento,IPV,Pedra,Nota_Matematica,IAA,IAN,Gênero,Fase Ideal,Fase,Idade,Nota_Portugues,INDE,RA,Defasagem,IPS,IEG,Ano ingresso,Turma,Instituição de ensino,Nome Anonimizado,Ano_Referencia
4.9,2004,6.167,Quartzo,5.0,6.7,2.5,Menina,Fase 8 (Universitários),5,18,6.2,5.537,RA-60,-3,7.5,6.0,2021,B,Escola Pública,Aluno-60,2022
5.8,2007,7.875,Ametista,1.7,9.2,10.0,Menino,Fase 5 (1º EM),5,15,6.3,7.533,RA-61,0,7.5,7.4,2021,B,Escola Pública,Aluno-61,2022
9.3,2005,7.25,Ametista,8.5,8.8,5.0,Menino,Fase 7 (3º EM),5,17,10.0,7.891,RA-62,-2,7.5,9.4,2022,B,Escola Pública,Aluno-62,2022
8.7,2006,9.417,Topázio,8.2,8.3,5.0,Menino,Fase 6 (2º EM),5,16,8.2,8.282,RA-63,-1,8.8,9.1,2018,B,Rede Decisão,Aluno-63,2022
7.5,2006,8.25,Ametista,4.8,7.1,5.0,Menino,Fase 6 (2º EM),5,16,8.2,7.368,RA-64,-1,8.1,8.1,2019,B,Escola Pública,Aluno-64,2022
9.3,2005,7.875,Ametista,9.0,8.3,5.0,Menina,Fase 7 (3º EM),5,17,9.5,7.712,RA-65,-2,7.5,7.7,2022,B,Escola Pública,Aluno-65,2022
4.5,2005,5.917,Quartzo,3.0,7.5,5.0,Menina,Fase 7 (3º EM),5,17,6.0,5.665,RA-66,-2,7.5,5.6,2022,B,Escola Pública,Aluno-66,2022
3.6,2006,6.889,Quartzo,3.0,5.8,5.0,Menina,Fase 6 (2º EM),5,16,4.2,5.195,RA-67,-1,7.5,3.0,2019,C,Escola Pública,Aluno-67,2022
4.0,2006,7.944,Ágata,4.7,8.3,5.0,Menino,Fase 6 (2º EM),5,16,4.8,6.438,RA-68,-1,7.5,6.0,2019,C,Escola Pública,Aluno-68,2022
2.5,2006,6.167,Quartzo,4.7,8.3,5.0,Menino,Fase 6 (2º EM),5,16,2.6,5.718,RA-69,-1,7.5,6.1,2018,C,Escola Pública,Aluno-69,2022
2.9,2006,6.111,Quartzo,5.7,8.8,5.0,Menina,Fase 6 (2º EM),5,16,2.9,5.712,RA-70,-1,5.0,6.6,2017,C,Escola Pública,Aluno-70,2022
1.2,2005,5.833,Quartzo,1.3,7.9,5.0,Menina,Fase 7 (3º EM),5,17,2.2,4.332,RA-71,-2,7.5,2.0,2019,C,Escola Pública,Aluno-71,2022
7.8,2005,8.667,Ametista,7.5,8.3,5.0,Menina,Fase 7 (3º EM),5,17,7.8,7.64,RA-72,-2,7.5,7.5,2022,C,Escola Pública,Aluno-72,2022
3.3,2005,7.278,Quartzo,4.5,7.1,5.0,Menina,Fase 7 (3º EM),5,17,3.0,5.271,RA-73,-2,7.5,3.0,2022,C,Escola Pública,Aluno-73,2022
2.0,2006,5.833,Quartzo,6.0,9.6,5.0,Menino,Fase 6 (2º EM),5,16,0.0,4.989,RA-74,-1,7.5,3.3,2022,C,Escola Pública,Aluno-74,2022
0.0,2006,4.625,Quartzo,0.0,5.4,5.0,Menina,Fase 6 (2º EM),5,16,0.0,3.915,RA-75,-1,6.3,3.8,2022,F,Escola Pública,Aluno-75,2022
8.7,2007,9.292,Topázio,9.3,10.0,10.0,Menina,Fase 5 (1º EM),5,15,8.3,9.105,RA-76,0,8.1,9.1,2017,F,Rede Decisão,Aluno-76,2022
0.7,2006,4.625,Quartzo,0.3,7.1,5.0,Menino,Fase 6 (2º EM),5,16,1.8,3.846,RA-77,-1,5.0,2.7,2019,F,Escola Pública,Aluno-77,2022
7.2,2005,8.0,Ametista,8.7,8.3,5.0,Menino,Fase 7 (3º EM),5,17,5.7,7.04,RA-78,-2,5.6,6.6,2018,F,Rede Decisão,Aluno-78,2022
8.9,2006,7.292,Ágata,9.5,5.4,5.0,Menina,Fase 6 (2º EM),5,16,7.7,6.847,RA-79,-1,5.6,6.3,2018,F,Rede Decisão,Aluno-79,2022
7.1,2006,7.625,Ametista,6.5,9.2,5.0,Menina,Fase 6 (2º EM),5,16,7.7,7.29,RA-80,-1,5.0,8.3,2017,K,Rede Decisão,Aluno-80,2022
6.0,2008,7.458,Ametista,5.5,9.2,10.0,Menina,Fase 4 (9º ano),5,14,5.2,7.675,RA-81,1,5.0,9.2,2017,K,Rede Decisão,Aluno-81,2022
5.5,2005,6.417,Ágata,6.0,8.8,5.0,Menina,Fase 7 (3º EM),5,17,5.0,6.596,RA-82,-2,7.5,6.8,2022,K,Escola Pública,Aluno-82,2022
6.8,2005,5.958,Ágata,6.0,7.9,5.0,Menina,Fase 7 (3º EM),5,17,7.5,6.671,RA-83,-2,7.5,6.8,2022,K,Escola Pública,Aluno-83,2022
5.8,2005,6.75,Ágata,5.7,7.1,5.0,Menina,Fase 7 (3º EM),5,17,6.5,6.682,RA-84,-2,5.0,8.8,2018,K,Rede Decisão,Aluno-84,2022
4.3,2007,5.833,Ágata,5.0,6.7,10.0,Menino,Fase 5 (1º EM),5,15,3.5,6.243,RA-85,0,5.0,7.3,2022,K,Escola Pública,Aluno-85,2022
6.7,2006,8.458,Ametista,6.2,7.5,5.0,Menino,Fase 6 (2º EM),5,16,7.2,7.566,RA-86,-1,5.6,9.6,2016,K,Rede Decisão,Aluno-86,2022
8.8,2007,8.5,Topázio,8.3,8.3,10.0,Menino,Fase 5 (1º EM),5,15,8.0,8.712,RA-87,0,7.5,9.6,2021,K,Rede Decisão,Aluno-87,2022
6.5,2005,9.208,Ametista,6.8,7.1,5.0,Menino,Fase 7 (3º EM),5,17,6.2,7.498,RA-88,-2,5.6,9.2,2021,K,Escola Pública,Aluno-88,2022
5.9,2006,8.0,Ametista,7.5,9.6,5.0,Menino,Fase 6 (2º EM),5,16,5.7,7.323,RA-89,-1,7.5,7.8,2021,K,Escola Pública,Aluno-89,2022
8.5,2009,9.75,Topázio,7.7,10.0,10.0,Menina,Fase 3 (7º e 8º ano),5,13,8.0,9.442,RA-90,2,9.4,9.7,2019,L,Rede Decisão,Aluno-90,2022
6.6,2006,7.125,Ágata,5.5,9.2,5.0,Menina,Fase 6 (2º EM),5,16,5.7,6.645,RA-91,-1,5.6,5.7,2016,L,Rede Decisão,Aluno-91,2022
7.4,2006,6.667,Ágata,7.8,9.2,5.0,Menina,Fase 6 (2º EM),5,16,5.5,6.957,RA-92,-1,5.0,7.1,2016,L,Rede Decisão,Aluno-92,2022
8.5,2007,9.083,Topázio,8.8,8.3,10.0,Menina,Fase 5 (1º EM),5,15,8.3,8.941,RA-93,0,8.1,9.7,2016,L,Rede Decisão,Aluno-93,2022
7.7,2007,9.583,Topázio,7.0,8.3,10.0,Menina,Fase 5 (1º EM),5,15,6.7,8.921,RA-94,0,8.1,9.6,2018,L,Rede Decisão,Aluno-94,2022
4.8,2005,6.292,Ágata,6.0,8.3,5.0,Menina,Fase 7 (3º EM),5,17,8.0,6.308,RA-95,-2,7.5,6.6,2022,L,Escola Pública,Aluno-95,2022
6.7,2006,8.5,Ametista,5.7,9.2,5.0,Menino,Fase 6 (2º EM),5,16,6.5,7.54,RA-96,-1,6.9,7.8,2021,L,Escola Pública,Aluno-96,2022
6.9,2007,6.292,Ametista,5.3,7.5,10.0,Menina,Fase 5 (1º EM),5,15,6.7,7.468,RA-97,0,5.0,8.8,2017,L,Rede Decisão,Aluno-97,2022
8.5,2007,9.667,Topázio,8.4,8.8,10.0,Menina,Fase 5 (1º EM),5,15,8.2,9.354,RA-98,0,9.4,10.0,2017,L,Rede Decisão,Aluno-98,2022
5.0,2006,5.833,Ágata,5.7,8.8,5.0,Menino,Fase 6 (2º EM),5,16,3.4,6.158,RA-99,-1,7.5,6.3,2019,L,Escola Pública,Aluno-99,2022
7.6,2009,7.25,Ametista,7.0,8.8,10.0,Menina,Fase 3 (7º e 8º ano),4,13,7.8,7.618,RA-100,1,5.0,7.8,2019,A,Rede Decisão,Aluno-100,2022
7.6,2007,6.833,Ametista,7.2,7.9,5.0,Menina,Fase 5 (1º EM),4,15,6.5,7.305,RA-101,-1,7.5,8.3,2021,A,Escola Pública,Aluno-101,2022
5.7,2008,6.0,Ágata,4.7,6.7,10.0,Menino,Fase 4 (9º ano),4,14,6.8,6.922,RA-102,0,6.9,7.7,2019,A,Escola Pública,Aluno-102,2022
7.3,2009,7.708,Topázio,7.3,7.9,10.0,Menina,Fase 3 (7º e 8º ano),4,13,7.3,8.107,RA-103,1,7.5,8.7,2020,A,Rede Decisão,Aluno-103,2022
3.7,2004,6.708,Ágata,4.8,7.9,2.5,Menino,Fase 8 (Universitários),4,18,5.8,6.315,RA-104,-4,7.5,8.7,2022,A,Escola Pública,Aluno-104,2022
6.7,2005,7.417,Ágata,7.2,7.9,2.5,Menino,Fase 7 (3º EM),4,17,6.2,6.846,RA-105,-3,5.6,8.2,2016,A,Rede Decisão,Aluno-105,2022
7.4,2007,8.375,Ametista,7.8,9.2,5.0,Menina,Fase 5 (1º EM),4,15,7.2,7.973,RA-106,-1,9.4,8.0,2016,A,Rede Decisão,Aluno-106,2022
4.6,2007,6.5,Ágata,3.3,7.5,5.0,Menina,Fase 5 (1º EM),4,15,4.3,6.258,RA-107,-1,7.5,6.4,2018,A,Escola Pública,Aluno-107,2022
5.0,2005,6.125,Quartzo,3.0,4.6,2.5,Menina,Fase 7 (3º EM),4,17,5.8,5.547,RA-108,-3,5.0,7.7,2019,A,Escola Pública,Aluno-108,2022
8.4,2006,8.667,Topázio,7.8,8.8,5.0,Menino,Fase 6 (2º EM),4,16,7.5,8.512,RA-109,-2,8.8,10.0,2021,A,Rede Decisão,Aluno-109,2022
6.7,2008,8.0,Topázio,8.3,9.2,10.0,Menino,Fase 4 (9º ano),4,14,5.7,8.15,RA-110,0,5.6,9.7,2017,A,Rede Decisão,Aluno-110,2022
8.0,2009,8.667,Topázio,6.7,7.5,10.0,Menina,Fase 3 (7º e 8º ano),4,13,7.5,8.646,RA-111,1,8.1,9.4,2020,A,Rede Decisão,Aluno-111,2022
8.5,2007,8.833,Ametista,9.0,7.9,5.0,Menina,Fase 5 (1º EM),4,15,7.5,7.836,RA-112,-1,6.3,7.8,2016,A,Rede Decisão,Aluno-112,2022
3.7,2007,3.792,Quartzo,3.3,0.0,5.0,Menina,Fase 5 (1º EM),4,15,5.5,3.032,RA-113,-1,5.0,0.0,2017,A,Rede Decisão,Aluno-113,2022
5.3,2006,5.0,Quartzo,6.0,7.9,5.0,Menino,Fase 6 (2º EM),4,16,4.5,5.894,RA-114,-2,7.5,6.3,2022,A,Escola Pública,Aluno-114,2022
3.8,2006,5.583,Quartzo,3.0,8.3,5.0,Menina,Fase 6 (2º EM),4,16,5.7,5.886,RA-115,-2,6.3,6.8,2019,A,Escola Pública,Aluno-115,2022
5.9,2006,7.792,Ágata,5.0,5.8,5.0,Menina,Fase 6 (2º EM),4,16,7.2,6.854,RA-116,-2,6.3,8.1,2019,B,Escola Pública,Aluno-116,2022
6.1,2007,7.417,Ágata,4.7,7.9,5.0,Menina,Fase 5 (1º EM),4,15,6.7,6.685,RA-117,-1,6.9,6.3,2022,B,Escola Pública,Aluno-117,2022
3.9,2008,6.958,Quartzo,3.7,0.0,10.0,Menina,Fase 4 (9º ano),4,14,4.7,5.597,RA-118,0,6.3,5.3,2021,B,Escola Pública,Aluno-118,2022
5.4,2008,7.875,Ametista,5.7,8.3,10.0,Menina,Fase 4 (9º ano),4,14,7.0,7.501,RA-119,0,5.6,8.2,2016,B,Rede Decisão,Aluno-119,2022
6.2,2007,7.667,Ágata,3.7,8.3,5.0,Menino,Fase 5 (1º EM),4,15,5.2,6.825,RA-120,-1,7.5,5.9,2019,B,Escola Pública,Aluno-120,2022
7.2,2006,7.625,Ametista,5.7,7.1,5.0,Menina,Fase 6 (2º EM),4,16,6.8,7.245,RA-121,-2,6.3,8.4,2021,B,Escola Pública,Aluno-121,2022
1.8,2008,4.958,Quartzo,1.7,7.9,10.0,Menina,Fase 4 (9º ano),4,14,3.7,5.061,RA-122,0,7.5,3.4,2019,B,Escola Pública,Aluno-122,2022
6.5,2006,7.292,Ametista,7.3,7.9,5.0,Menino,Fase 6 (2º EM),4,16,6.3,7.084,RA-123,-2,5.6,8.6,2017,B,Rede Decisão,Aluno-123,2022
6.7,2008,7.167,Ametista,5.7,7.9,10.0,Menino,Fase 4 (9º ano),4,14,7.0,7.388,RA-124,0,5.0,7.8,2016,B,Rede Decisão,Aluno-124,2022
7.1,2007,7.75,Ametista,5.0,8.8,5.0,Menina,Fase 5 (1º EM),4,15,7.2,7.619,RA-125,-1,7.5,8.5,2022,B,Escola Pública,Aluno-125,2022
4.4,2007,7.417,Ágata,4.0,7.1,5.0,Menino,Fase 5 (1º EM),4,15,5.0,6.289,RA-126,-1,7.5,5.8,2018,B,Escola Pública,Aluno-126,2022
7.9,2008,8.125,Topázio,7.7,7.5,10.0,Menina,Fase 4 (9º ano),4,14,7.7,8.283,RA-127,0,7.5,8.7,2022,B,Escola Pública,Aluno-127,2022
5.6,2007,6.167,Quartzo,6.7,0.0,5.0,Menino,Fase 5 (1º EM),4,15,6.8,5.563,RA-128,-1,7.5,6.2,2019,B,Escola Pública,Aluno-128,2022
6.7,2007,7.792,Ágata,6.0,6.7,5.0,Menino,Fase 5 (1º EM),4,15,5.3,6.926,RA-129,-1,7.5,6.4,2019,B,Escola Pública,Aluno-129,2022
4.1,2006,6.5,Quartzo,3.7,8.3,5.0,Menina,Fase 6 (2º EM),4,16,5.2,5.624,RA-130,-2,5.0,4.7,2018,F,Escola Pública,Aluno-130,2022
5.6,2007,7.75,Ametista,6.0,8.8,5.0,Menina,Fase 5 (1º EM),4,15,6.5,7.174,RA-131,-1,5.6,9.0,2016,F,Escola Pública,Aluno-131,2022
7.7,2008,8.458,Topázio,6.5,10.0,10.0,Menina,Fase 4 (9º ano),4,14,7.5,8.355,RA-132,0,5.6,8.8,2019,F,Rede Decisão,Aluno-132,2022
5.6,2007,7.625,Ágata,4.7,7.9,5.0,Menina,Fase 5 (1º EM),4,15,7.2,6.875,RA-133,-1,7.5,7.1,2016,F,Escola Pública,Aluno-133,2022
4.7,2007,7.375,Ágata,4.7,8.8,5.0,Menina,Fase 5 (1º EM),4,15,6.8,6.607,RA-134,-1,7.5,6.8,2021,F,Escola Pública,Aluno-134,2022
8.6,2007,8.583,Ametista,8.0,8.3,5.0,Menina,Fase 5 (1º EM),4,15,8.2,7.692,RA-135,-1,5.6,7.8,2019,F,Escola Pública,Aluno-135,2022
4.6,2007,6.667,Ágata,5.3,10.0,5.0,Menino,Fase 5 (1º EM),4,15,5.7,6.478,RA-136,-1,7.5,6.3,2019,F,Escola Pública,Aluno-136,2022
7.3,2005,7.792,Ametista,6.0,7.5,2.5,Menina,Fase 7 (3º EM),4,17,7.3,7.056,RA-137,-3,5.0,8.9,2016,F,Rede Decisão,Aluno-137,2022
5.6,2007,6.375,Ágata,5.0,9.6,5.0,Menino,Fase 5 (1º EM),4,15,6.5,6.738,RA-138,-1,5.6,8.0,2016,F,Escola Pública,Aluno-138,2022
1.4,2005,3.917,Quartzo,1.7,7.1,2.5,Menino,Fase 7 (3º EM),4,17,2.7,3.738,RA-139,-3,5.0,3.5,2019,F,Escola Pública,Aluno-139,2022
5.7,2008,7.667,Ametista,5.0,7.9,10.0,Menina,Fase 4 (9º ano),4,14,6.5,7.407,RA-140,0,6.9,7.6,2021,F,Escola Pública,Aluno-140,2022
5.7,2008,5.917,Ametista,5.8,9.2,10.0,Menino,Fase 4 (9º ano),4,14,6.2,7.118,RA-141,0,5.6,8.2,2017,F,Escola Pública,Aluno-141,2022
6.3,2008,7.583,Ametista,6.0,6.7,10.0,Menina,Fase 4 (9º ano),4,14,6.8,7.457,RA-142,0,5.6,8.6,2021,F,Escola Pública,Aluno-142,2022
7.9,2009,9.5,Topázio,9.7,8.3,10.0,Menino,Fase 3 (7º e 8º ano),4,13,7.7,8.638,RA-143,1,5.6,9.9,2019,F,Rede Decisão,Aluno-143,2022
7.9,2008,8.292,Topázio,7.5,7.5,10.0,Menina,Fase 4 (9º ano),4,14,7.2,8.181,RA-144,0,5.0,9.3,2017,F,Rede Decisão,Aluno-144,2022
