modelo,posicao_pr_auc,parametros,class_weight,selecionada_por_parcimonia,media_cv_pr_auc,desvio_cv_pr_auc,media_cv_recall,desvio_cv_recall,media_cv_precision,desvio_cv_precision,media_cv_f1,desvio_cv_f1,media_cv_brier,media_treino_pr_auc,gap_treino_validacao_pr_auc,tempo_medio_ajuste
LogisticRegression,8,"{""C"": 10.0, ""class_weight"": {""0"": 1, ""1"": 2.0}, ""solver"": ""liblinear""}","{""0"": 1, ""1"": 2.0}",False,0.9288955978861011,0.018108516764528283,0.947640791476408,0.03511135445144248,0.7700806208679898,0.026077802958541913,0.848989609531597,0.017829074300601325,0.14617854457216298,0.9370810571953279,0.008185459309226761,0.04265236854553223
LogisticRegression,9,"{""C"": 100.0, ""class_weight"": null, ""solver"": ""lbfgs""}",None,False,0.9288610788636443,0.0197783832074895,0.8758371385083714,0.044066095639883056,0.8247631872603556,0.02905486554234815,0.8484581435322841,0.021095039779847193,0.13369252248864932,0.9380332187619785,0.009172139898334208,0.07524924278259278
LogisticRegression,10,"{""C"": 10.0, ""class_weight"": {""0"": 1, ""1"": 3.0}, ""solver"": ""lbfgs""}","{""0"": 1, ""1"": 3.0}",False,0.9288408316597211,0.01830631830454387,0.9586377473363775,0.023015364592241714,0.7504251310770732,0.02623872246200041,0.8413606102917675,0.01586017980165015,0.1603594612690275,0.9365934233028519,0.007752591643130802,0.06332583427429199
RandomForestClassifier,1,"{""class_weight"": {""0"": 1, ""1"": 2.0}, ""max_depth"": 10, ""max_features"": 0.7, ""min_samples_leaf"": 3, ""min_samples_split"": 2, ""n_estimators"": 300}","{""0"": 1, ""1"": 2.0}",False,0.8797983478011473,0.026588386862095026,0.9337899543378996,0.0157301536220361,0.7687406710936122,0.01970254863360978,0.8430606776278067,0.013195969494937952,0.16224455255333312,0.9964867199534255,0.11668837215227823,2.744328260421753
RandomForestClassifier,2,"{""class_weight"": {""0"": 1, ""1"": 2.0}, ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""min_samples_split"": 10, ""n_estimators"": 300}","{""0"": 1, ""1"": 2.0}",False,0.8793173058091958,0.019335187017823805,0.9559741248097413,0.027847174629870894,0.7308474323262525,0.024090746954104552,0.8279269140076291,0.016959212876493306,0.1721651078688254,0.99054936985061,0.11123206404141428,3.4881126403808596
RandomForestClassifier,3,"{""class_weight"": {""0"": 1, ""1"": 3.0}, ""max_depth"": 10, ""max_features"": 0.7, ""min_samples_leaf"": 3, ""min_samples_split"": 2, ""n_estimators"": 300}","{""0"": 1, ""1"": 3.0}",False,0.879059582915209,0.023854731270185146,0.9531963470319635,0.02527650353041559,0.7585019788274873,0.014886182525464095,0.8445788925103889,0.014349927845271582,0.16699146646046006,0.9954523980693535,0.11639281515414446,2.5781076431274412
RandomForestClassifier,4,"{""class_weight"": null, ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""min_samples_split"": 10, ""n_estimators"": 300}",None,False,0.8785978345641977,0.023182131735590524,0.8978691019786911,0.018310524424592297,0.7639319130353857,0.026595718590647608,0.8251287242165315,0.016289774985980846,0.16611740038758488,0.9918947015811833,0.1132968670169856,1.8249932765960692
RandomForestClassifier,5,"{""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""min_samples_split"": 2, ""n_estimators"": 300}",balanced,False,0.8785183325502942,0.022482146351770056,0.8674657534246576,0.028180808803939007,0.7930541867156012,0.016434024478685843,0.8284173415400821,0.018807506987653846,0.168455101032508,0.99689757601143,0.11837924346113582,2.855156993865967
RandomForestClassifier,6,"{""class_weight"": {""0"": 1, ""1"": 3.0}, ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""min_samples_split"": 2, ""n_estimators"": 300}","{""0"": 1, ""1"": 3.0}",False,0.8784016739444294,0.02119964886869826,0.9559741248097413,0.026425454415002287,0.7336514336917562,0.020902621128005467,0.8298522351957093,0.016545489141267432,0.1717317772292369,0.9956829053418865,0.11728123139745716,1.8439002990722657
RandomForestClassifier,7,"{""class_weight"": ""balanced_subsample"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""min_samples_split"": 2, ""n_estimators"": 600}",balanced_subsample,False,0.8783610190406849,0.021706831036861916,0.8564307458143074,0.03948657107176939,0.7887779001703052,0.013036073543359976,0.8208647498550142,0.022133829582342113,0.16871677697063514,0.9970356279451285,0.11867460890444359,5.210082864761352
RandomForestClassifier,8,"{""class_weight"": null, ""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""min_samples_split"": 10, ""n_estimators"": 300}",None,False,0.8783042550669734,0.02271570075819114,0.9006468797564688,0.017783403203923936,0.7639214612460538,0.020437308144889046,0.8265199088720632,0.01618264632424268,0.16714701106996865,0.9902102568151083,0.11190600174813492,2.029873085021973
RandomForestClassifier,9,"{""class_weight"": {""0"": 1, ""1"": 1.5}, ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""min_samples_split"": 2, ""n_estimators"": 300}","{""0"": 1, ""1"": 1.5}",False,0.878293054194056,0.01754995686454505,0.9393074581430746,0.018490175205818058,0.7349898741428028,0.021155875873500336,0.8244136296421691,0.014309711894815376,0.17419418161209252,0.9831597284029687,0.10486667420891271,1.9222175121307372
RandomForestClassifier,9,"{""class_weight"": {""0"": 1, ""1"": 1.5}, ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""min_samples_split"": 10, ""n_estimators"": 300}","{""0"": 1, ""1"": 1.5}",False,0.878293054194056,0.01754995686454505,0.9393074581430746,0.018490175205818058,0.7349898741428028,0.021155875873500336,0.8244136296421691,0.014309711894815376,0.17419418161209252,0.9831597284029687,0.10486667420891271,1.9635690212249757
