modelo,indice_configuracao,posicao_pr_auc,parametros,class_weight,tempo_medio_ajuste,desvio_tempo_ajuste,media_cv_pr_auc,desvio_cv_pr_auc,media_treino_pr_auc,gap_treino_validacao_pr_auc,media_cv_recall,desvio_cv_recall,media_treino_recall,gap_treino_validacao_recall,media_cv_precision,desvio_cv_precision,media_treino_precision,gap_treino_validacao_precision,media_cv_f1,desvio_cv_f1,media_treino_f1,gap_treino_validacao_f1,media_cv_brier,desvio_cv_brier,media_treino_brier,gap_treino_validacao_brier,param_C,param_class_weight,param_solver,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_max_features,param_n_estimators,param_learning_rate,param_subsample
RandomForestClassifier,164,231,"{""class_weight"": ""balanced_subsample"", ""max_depth"": 6, ""max_features"": 0.7, ""min_samples_leaf"": 10, ""min_samples_split"": 2, ""n_estimators"": 300}",balanced_subsample,2.6412161350250245,0.26139836013528095,0.8696792771454536,0.020320439537754625,0.9543646108826233,0.08468533373716969,0.7595509893455099,0.03311888476205994,0.8273499582388736,0.06779896889336368,0.8198442000461663,0.03520003325518739,0.8947792816044051,0.0749350815582388,0.7879185246661382,0.02660816859883265,0.8595718479544505,0.07165332328831231,0.17544406503810633,0.010400619940324068,0.13041480800718838,-0.04502925703091795,,balanced_subsample,,,6,10,2,0.7,300,,
RandomForestClassifier,166,231,"{""class_weight"": ""balanced_subsample"", ""max_depth"": 6, ""max_features"": 0.7, ""min_samples_leaf"": 10, ""min_samples_split"": 10, ""n_estimators"": 300}",balanced_subsample,2.7949626445770264,0.21312962029786653,0.8696792771454536,0.020320439537754625,0.9543646108826233,0.08468533373716969,0.7595509893455099,0.03311888476205994,0.8273499582388736,0.06779896889336368,0.8198442000461663,0.03520003325518739,0.8947792816044051,0.0749350815582388,0.7879185246661382,0.02660816859883265,0.8595718479544505,0.07165332328831231,0.17544406503810633,0.010400619940324068,0.13041480800718838,-0.04502925703091795,,balanced_subsample,,,6,10,10,0.7,300,,
RandomForestClassifier,173,233,"{""class_weight"": ""balanced_subsample"", ""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""min_samples_split"": 2, ""n_estimators"": 600}",balanced_subsample,4.92829008102417,0.4870323367989745,0.8696325109614087,0.022458207848213688,0.9830793475062265,0.1134468365448178,0.8148782343987824,0.03991953256782209,0.9115952750268465,0.09671704062806408,0.7914251060953259,0.02792772335731171,0.9329796347139225,0.14155452861859663,0.8024913783335597,0.027726470411601204,0.9220734040384496,0.11958202570488996,0.17599448443635743,0.009086956579126422,0.10619638935408693,-0.0697980950822705,,balanced_subsample,,,10,5,2,sqrt,600,,
RandomForestClassifier,175,233,"{""class_weight"": ""balanced_subsample"", ""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""min_samples_split"": 10, ""n_estimators"": 600}",balanced_subsample,5.799573564529419,0.6447256094751028,0.8696325109614087,0.022458207848213688,0.9830793475062265,0.1134468365448178,0.8148782343987824,0.03991953256782209,0.9115952750268465,0.09671704062806408,0.7914251060953259,0.02792772335731171,0.9329796347139225,0.14155452861859663,0.8024913783335597,0.027726470411601204,0.9220734040384496,0.11958202570488996,0.17599448443635743,0.009086956579126422,0.10619638935408693,-0.0697980950822705,,balanced_subsample,,,10,5,10,sqrt,600,,
RandomForestClassifier,288,235,"{""class_weight"": {""0"": 1, ""1"": 2.0}, ""max_depth"": 6, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""min_samples_split"": 2, ""n_estimators"": 300}","{""0"": 1, ""1"": 2.0}",2.3603652000427244,0.4090675586672431,0.8695484970479395,0.02278920630409188,0.973918824825285,0.10437032777734556,0.9807838660578387,0.020492201290986105,1.0,0.019216133942161262,0.7008656661602175,0.023014897258698142,0.7538198642525782,0.05295419809236068,0.817247083442577,0.017435299749949677,0.8596191714502981,0.042372088007721076,0.18297545404874957,0.009073986524636798,0.13350167567202137,-0.0494737783767282,,"{""0"": 1, ""1"": 2.0}",,,6,3,2,sqrt,300,,
RandomForestClassifier,196,236,"{""class_weight"": ""balanced_subsample"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""min_samples_split"": 2, ""n_estimators"": 300}",balanced_subsample,2.5528907775878906,0.17883568937319655,0.8694997069828629,0.024426580863397326,0.9834760707146781,0.11397636373181519,0.8093987823439879,0.03195835104326227,0.9143634411168119,0.10496465877282402,0.7943119087485285,0.019459722959872066,0.9357667107832441,0.1414548020347156,0.801455831524797,0.020570490591430332,0.9248789828417306,0.1234231513169336,0.175178165452956,0.009222933702897769,0.10449323700752858,-0.07068492844542743,,balanced_subsample,,,None,5,2,sqrt,300,,
RandomForestClassifier,198,236,"{""class_weight"": ""balanced_subsample"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""min_samples_split"": 10, ""n_estimators"": 300}",balanced_subsample,2.625248670578003,0.1403980948667542,0.8694997069828629,0.024426580863397326,0.9834760707146781,0.11397636373181519,0.8093987823439879,0.03195835104326227,0.9143634411168119,0.10496465877282402,0.7943119087485285,0.019459722959872066,0.9357667107832441,0.1414548020347156,0.801455831524797,0.020570490591430332,0.9248789828417306,0.1234231513169336,0.175178165452956,0.009222933702897769,0.10449323700752858,-0.07068492844542743,,balanced_subsample,,,None,5,10,sqrt,300,,
RandomForestClassifier,277,238,"{""class_weight"": {""0"": 1, ""1"": 1.5}, ""max_depth"": null, ""max_features"": 0.7, ""min_samples_leaf"": 3, ""min_samples_split"": 2, ""n_estimators"": 600}","{""0"": 1, ""1"": 1.5}",5.217905902862549,0.5396305201158633,0.869370093293481,0.03282159750277873,0.9977227116861099,0.1283526183926289,0.9061643835616439,0.01557586015134421,0.9986183033050949,0.09245391974345107,0.7777572540902092,0.0202041209999029,0.9158036956547516,0.13804644156454238,0.8369148099401797,0.015060706724892235,0.9554096622871364,0.11849485234695667,0.16206246573101085,0.012121042917649314,0.06329091394178836,-0.09877155178922249,,"{""0"": 1, ""1"": 1.5}",,,None,3,2,0.7,600,,
RandomForestClassifier,424,239,"{""class_weight"": {""0"": 1, ""1"": 3.0}, ""max_depth"": null, ""max_features"": 0.7, ""min_samples_leaf"": 5, ""min_samples_split"": 2, ""n_estimators"": 300}","{""0"": 1, ""1"": 3.0}",2.177846670150757,0.13721517444405829,0.8693592522302016,0.029399738271015618,0.9847127538064427,0.11535350157624114,0.9670091324200915,0.025362455036104403,1.0,0.032990867579908545,0.7346612561234189,0.0295132920603858,0.7974445366986803,0.06278328057526139,0.8347011944021032,0.024944378859545677,0.8872831633096565,0.05258196890755329,0.1760517221908456,0.017088229903694165,0.10611106947544849,-0.06994065271539712,,"{""0"": 1, ""1"": 3.0}",,,None,5,2,0.7,300,,
RandomForestClassifier,426,239,"{""class_weight"": {""0"": 1, ""1"": 3.0}, ""max_depth"": null, ""max_features"": 0.7, ""min_samples_leaf"": 5, ""min_samples_split"": 10, ""n_estimators"": 300}","{""0"": 1, ""1"": 3.0}",2.2539507389068603,0.18750529890389467,0.8693592522302016,0.029399738271015618,0.9847127538064427,0.11535350157624114,0.9670091324200915,0.025362455036104403,1.0,0.032990867579908545,0.7346612561234189,0.0295132920603858,0.7974445366986803,0.06278328057526139,0.8347011944021032,0.024944378859545677,0.8872831633096565,0.05258196890755329,0.1760517221908456,0.017088229903694165,0.10611106947544849,-0.06994065271539712,,"{""0"": 1, ""1"": 3.0}",,,None,5,10,0.7,300,,
